pos,bezeichnung,unterhalt,code,longitude,latitude,photo_url
1,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5502779564,48.0906523249,https://isar-map.de/assets/img/abfall/gitterbox.jpg
2,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5483694365,48.0884342479,https://isar-map.de/assets/img/abfall/gitterbox.jpg
3,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5468035785,48.0866191381,https://isar-map.de/assets/img/abfall/gitterbox.jpg
4,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5445014106,48.083838699,https://isar-map.de/assets/img/abfall/gitterbox.jpg
5,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5425656249,48.0804523405,https://isar-map.de/assets/img/abfall/gitterbox.jpg
6,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5416170663,48.0779677981,https://isar-map.de/assets/img/abfall/gitterbox.jpg
7,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5414308125,48.0746864985,https://isar-map.de/assets/img/abfall/gitterbox.jpg
8,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5417426949,48.0743231306,https://isar-map.de/assets/img/abfall/gitterbox.jpg
9,Grillaschebehälter,Landeshauptstadt München - Baureferat - Ingenieurbau,GR,11.5415864104,48.0742263334,https://isar-map.de/assets/img/abfall/grillaschebehaelter.jpg
10,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5405351339,48.0727954884,https://isar-map.de/assets/img/abfall/gitterbox.jpg
11,Grillaschebehälter,Landeshauptstadt München - Baureferat - Ingenieurbau,GR,11.5405627582,48.0726464115,https://isar-map.de/assets/img/abfall/grillaschebehaelter.jpg
12,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5402312851,48.0742579338,https://isar-map.de/assets/img/abfall/gitterbox.jpg
13,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5401837054,48.0747583006,https://isar-map.de/assets/img/abfall/gitterbox.jpg
14,Grillaschebehälter,Landeshauptstadt München - Baureferat - Ingenieurbau,GR,11.5401652723,48.0749013136,https://isar-map.de/assets/img/abfall/grillaschebehaelter.jpg
15,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5398439349,48.0773514952,https://isar-map.de/assets/img/abfall/gitterbox.jpg
16,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.541003738,48.0804594254,https://isar-map.de/assets/img/abfall/gitterbox.jpg
17,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5414265648,48.0816462745,https://isar-map.de/assets/img/abfall/gitterbox.jpg
18,Gitterbox,Landeshauptstadt München - Baureferat - Gartenbau,G,11.5412019781,48.0816963375,https://isar-map.de/assets/img/abfall/gitterbox.jpg
23,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5427828943,48.0838183869,https://isar-map.de/assets/img/abfall/gitterbox.jpg
24,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5445107212,48.0861905309,https://isar-map.de/assets/img/abfall/gitterbox.jpg
25,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5466200135,48.0885834888,https://isar-map.de/assets/img/abfall/gitterbox.jpg
27,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5493214582,48.0916877748,https://isar-map.de/assets/img/abfall/gitterbox.jpg
28,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5487790918,48.0920291979,https://isar-map.de/assets/img/abfall/gitterbox.jpg
31,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5491967676,48.0923923738,https://isar-map.de/assets/img/abfall/gitterbox.jpg
33,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,GL,11.5493192619,48.0927908974,https://isar-map.de/assets/img/abfall/gitterbox.jpg
34,Grillaschebehälter,Landeshauptstadt München - Baureferat - Ingenieurbau,GR,11.549284309,48.0926504247,https://isar-map.de/assets/img/abfall/grillaschebehaelter.jpg
37,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5491703908,48.0939326788,https://isar-map.de/assets/img/abfall/gitterbox.jpg
38,Grillaschebehälter,Landeshauptstadt München - Baureferat - Ingenieurbau,GR,11.5491449676,48.0937920748,https://isar-map.de/assets/img/abfall/grillaschebehaelter.jpg
40,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5490179327,48.097140941,https://isar-map.de/assets/img/abfall/gitterbox.jpg
41,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5489097738,48.1000677974,https://isar-map.de/assets/img/abfall/gitterbox.jpg
43,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5491439884,48.1005838913,https://isar-map.de/assets/img/abfall/gitterbox.jpg
